Trade Date,Open (Rs.),High (Rs.),Low (Rs.),Close (Rs.),TradeVolume,ShareVolume,Turnover (Rs.)
1/24/24,982,982,975,980,10,103,100927.5
1/22/24,985,995,982,988.75,10,373,368446
1/18/24,984,1000,983,985,10,43,42515
1/17/24,1000,1000,983.25,985,3,5,4983.25
1/12/24,1000,1000,1000,985,1,1,1000
1/11/24,981,981,976,985,7,41,40154
1/10/24,981,990,980,985,4,27,26475
1/9/24,981,981,981,985,3,10,9810
1/8/24,995,995,980,985,9,30,29441.5
1/5/24,995,995,984,985,3,8,7894
1/4/24,985,986,984,985,7,117,115246
1/3/24,987,987,985,990.25,10,13,12818.75
1/2/24,986,1000,986,990.25,4,15,14818
12/29/23,988.5,1000,985,990.25,13,41,40470
12/28/23,1000,1000,988.5,990.25,2,3,2988.5
12/27/23,1000,1000,1000,990.25,1,2,2000
12/22/23,1019,1019,1000,990.25,3,71,71285
12/21/23,989,989,989,990.25,1,14,13846
12/20/23,988.25,988.25,988.25,990.25,1,40,39530
12/19/23,1000,1000,1000,990.25,1,2,2000
12/15/23,1000,1020,1000,990.25,2,3,3020
12/14/23,991,991,990,990.25,5,14,13865.25
12/13/23,992,999,990,990.25,10,35,34669.25
12/12/23,997,997,990,990.25,10,150,148538.25
12/11/23,1000,1000,1000,1000,1,3,3000
12/6/23,997.25,997.25,997,1000,3,10,9970.25
12/5/23,1000,1000,1000,1000,1,5,5000
12/4/23,1000,1009,1000,1000,6,53,53018
11/30/23,1000,1000,993,1000,5,1081,1080993
11/29/23,1000,1000,1000,1000,2,101,101000
11/28/23,999.75,1000,999.75,1000,8,2334,2333968
11/27/23,999.75,999.75,999.75,1000,4,10,9997.5
11/24/23,999.75,999.75,995,1000,4,67,66954.75
11/23/23,1000,1000,999.75,1000,8,58,57999.5
11/22/23,1000,1000,1000,1000,1,1,1000
11/21/23,1002,1002,1000,1000,8,98,98002
11/20/23,1000,1000,1000,1000,2,4,4000
11/17/23,1000,1000,1000,1000,4,783,783000
11/16/23,994,1000,994,1000,4,9,8994
11/15/23,998,998,998,1000,2,10,9980
11/14/23,1032,1032,998.5,1000,2,6,6158.5
11/9/23,1001,1001,1000,1000,15,897,897009.75
11/8/23,1000.25,1000.25,1000.25,1000,1,3,3000.75
11/7/23,1002,1002,1000,1000,19,2840,2840012
11/6/23,1030,1035,1000,1002.75,7,561,562481
11/2/23,990,990,990,997,1,20,19800
10/31/23,1000.5,1000.5,990,997,25,132,131693
10/25/23,1030,1030,1010,1001.5,3,3,3069.75
10/24/23,1000,1000,1000,1001.5,12,74,74000
10/23/23,1000,1000,1000,1001.5,4,9,9000
10/19/23,1000,1000,999.5,1001.5,6,24,23995
10/18/23,1000,1000,1000,1001.5,1,2,2000
10/17/23,1008.5,1008.5,999.5,1001.5,6,10,10064.5
10/16/23,1007,1007.25,999.75,1001.5,19,265,265511.75
10/13/23,1019,1019,1019,1025,1,2,2038
10/11/23,1025,1025,1007,1025,4,6,6060
10/10/23,1025,1025,1006.25,1025,2,11,11256.25
10/9/23,1015,1015,1010,1025,6,61,61789.5
10/6/23,1024.75,1024.75,1015,1025,6,57,58022.5
10/5/23,1017,1020,1010,1025,11,99,100565.75
10/4/23,1020,1020,1015,1025,7,68,69158
10/3/23,1020,1020,1019,1025,9,68,69351.75
10/2/23,1024.75,1024.75,1020,1025,5,8,8174.25
9/27/23,1026,1026,1025,1025,7,47,48177
9/26/23,1050,1050,1023,1025,2,3,3123
9/22/23,1021,1025,1021,1025,5,21,21481
9/21/23,1030,1030,1021,1025,2,90,92034
9/20/23,1020,1072.25,1020,1025,10,201,205911
9/19/23,1021,1022,1019,1021,8,42,42896
9/18/23,1021,1022,1021,1021,5,102,104146
9/15/23,1021,1025,1016,1024.75,13,87,88598.5
9/14/23,1030,1030,1021,1024.75,8,62,63695
9/13/23,1019,1030,1019,1024.75,5,85,87440
9/12/23,1016,1025,1016,1024.75,11,72,73651
9/11/23,1053,1053,1016,1024.75,21,222,227591.25
9/8/23,1052,1052,1052,999.5,1,2,2104
9/7/23,1077.5,1077.5,1050,999.5,3,4,4282.5
9/6/23,1077.5,1078,1030,999.5,10,38,39685
9/5/23,1077.5,1077.5,1020,999.5,7,67,70396
9/4/23,1049.25,1070,1048.75,999.5,8,22,23395.25
9/1/23,1049,1049,1049,999.5,1,20,20980
8/31/23,1010,1048.75,1010,999.5,4,31,31348.75
8/29/23,1005,1010.25,1005,999.5,4,15,15127.5
8/28/23,1030,1030,999,999.5,17,1084,1083539.25
8/25/23,1008,1033,1008,1021.5,7,108,110314
8/24/23,1025,1025,1008,1000.75,12,99,100260
8/23/23,1012,1012,1000,1000.75,26,297,297545.25
8/22/23,1013.25,1034,1010,1006.25,11,71,71802.75
8/21/23,1011.25,1011.25,1002,1006.25,15,110,110676.75
8/18/23,1023,1030,1011,1020.5,15,59,60030
8/17/23,1035,1035,1021.75,1020.5,6,93,95331.5
8/16/23,1023,1023,1020.25,1020.5,11,66,67486.5
8/15/23,1022.25,1035,1022.25,1020.5,7,59,60547
8/14/23,1050,1050,1015,1020.5,13,114,116547.25
8/11/23,1029.75,1065,1011,1012.75,16,1026,1039117.5
8/10/23,1040,1040,1030,1032.25,15,101,104255
8/9/23,1040,1075.25,1030,1037.5,27,316,328324
8/8/23,1079.75,1079.75,1040,1040,15,122,127273
8/7/23,1089,1089,1045.25,1044.25,6,27,28669
8/4/23,1043,1051,1043,1044.25,6,120,125309
8/3/23,1089.5,1089.5,1040.25,1051.5,16,111,116743
8/2/23,1069,1069,1060,1060,6,32,33992
7/31/23,1099,1099,1099,1060,3,12,13188
7/28/23,1116,1116,1066,1060,3,12,13340
7/27/23,1116,1116,1058,1060,43,2028,2152528
7/26/23,1125,1125.25,1125,1111.25,4,11,12375.25
7/25/23,1149,1149,1115,1111.25,11,88,99392
7/24/23,1112,1112,1110,1111.25,5,106,117780
7/21/23,1150,1150,1060,1112,14,147,163470
7/20/23,1100,1149,1100,1051,2,23,25545
7/18/23,1145,1148.75,1145,1051,6,35,40078.75
7/17/23,1054,1100,1051,1051,9,27,28661.75
7/14/23,1065,1065,1050,1051,8,118,124004
7/13/23,1064,1064,1064,1000,1,10,10640
7/12/23,1049.5,1052,1049.5,1000,4,10,10510
7/11/23,1050,1050,1049.25,1000,6,49,51420
7/10/23,1068,1068,1050,1000,4,7,7458
7/7/23,1027,1027,1027,1000,2,3,3081
7/6/23,1039,1039,1026,1000,4,12,12429
7/4/23,1059.75,1069.75,1059.75,1000,4,6,6379.25
6/28/23,1055,1059.75,1055,1000,5,16,16912.75
6/27/23,1040.25,1040.25,1040,1000,2,5,5201
6/23/23,1050,1050,1050,1000,3,12,12600
6/22/23,1049.5,1049.5,1049.5,1000,2,9,9445.5
6/21/23,1049.5,1049.5,1049.5,1000,1,1,1049.5
6/20/23,1000.25,1000.25,1000,1000,4,30,30000.25
6/19/23,1034.75,1034.75,1000,1000,10,33,33502.75
6/16/23,1049.75,1049.75,1049.5,1000,3,11,11547
6/15/23,1059,1059,1049.75,1000,7,22,23279.5
6/14/23,1050,1050,1050,1000,2,2,2100
6/13/23,1020,1059,1000,1000,23,602,602266.5
6/12/23,1022.75,1060,1020,1012,11,97,102256.25
6/9/23,1026,1026,1020,1012,4,7,7162
6/8/23,1084.5,1084.5,1020.5,1012,10,49,51350
6/7/23,1020,1085,1020,1012,3,7,7529.5
6/6/23,1011,1011,1011,1012,1,2,2022
6/2/23,1066,1067,1050,1012,6,28,29694.5
6/1/23,1080,1080,1080,1012,1,1,1080
5/31/23,1047,1085,1047,1012,10,77,81462
5/25/23,1034,1043.5,1034,1012,3,5,5204.5
5/24/23,1032,1044,1032,1012,4,28,29119.5
5/22/23,1040,1040,1034,1012,3,6,6210
5/19/23,1035,1048,1032,1012,11,34,35292
5/18/23,1030.5,1030.5,1030.5,1012,1,1,1030.5
5/17/23,1030,1090,1030,1012,4,7,7510
5/11/23,1005,1005,1005,1012,1,3,3015
5/9/23,1099,1099,1050,1012,2,21,22099
5/8/23,1099,1099,1099,1012,1,1,1099
5/2/23,1039.75,1039.75,1000,1012,4,25,25395.25
4/28/23,1046,1046,1040,1012,4,8,8357
4/26/23,1074.25,1075,1050,1012,5,23,24472.75
4/21/23,1055,1073,1055,1012,5,7,7433
4/20/23,1055,1055,1055,1012,2,2,2110
4/19/23,1060.75,1062,1060.75,1012,5,8,8494.75
4/18/23,1062,1062,1061,1012,3,5,5309
4/17/23,1021,1021,1021,1012,1,1,1021
4/11/23,1012,1012,1012,1012,2,6,6072
4/10/23,1030,1032,1030,1012,5,28,28858
4/6/23,1012,1012,1012,1012,4,163,164956
4/4/23,1065.5,1065.5,1011,1020,5,12,12209
3/31/23,1065,1065,1020,1020,11,1138,1161072.75
3/30/23,1065,1065,1065,1060,1,1,1065
3/29/23,1065,1065.25,1065,1060,3,11,11715.25
3/28/23,1105,1105,1060.25,1060,8,58,63773
3/27/23,1100,1105,1100,1060,5,98,107820
3/24/23,1060,1060,1060,1060,2,172,182320
3/23/23,1059.5,1060,1059.25,1060,6,107,113418.5
3/22/23,1060,1060,1059.5,1060,5,15,15898
3/21/23,1060,1060,1059.75,1060,7,29,30739.75
3/20/23,1060,1060,1060,1060,8,167,177020
3/17/23,1124.75,1124.75,1124.75,1058,1,1,1124.75
3/16/23,1053,1150,1053,1058,8,42,45926
3/15/23,1060,1060,1050,1058,2,126,133300
3/14/23,1059.25,1059.25,1059.25,1060,1,1,1059.25
3/13/23,1059.5,1059.5,1059.5,1060,1,1,1059.5
3/10/23,1059.75,1059.75,1059.75,1060,1,1,1059.75
3/9/23,1060,1060,1060,1060,3,29,30740
3/8/23,1065,1065,1060,1060,6,155,164325
3/7/23,1059,1060,1059,1054.25,3,10,10598
3/3/23,1031.5,1060,1031.5,1054.25,5,107,112816.5
3/2/23,1060,1060,1060,1050,2,21,22260
3/1/23,1060,1060,1031.5,1050,10,63,66203.5
2/28/23,1060,1060,1060,1050,3,3,3180
2/27/23,1064.5,1064.5,1050,1050,15,2073,2176706.5
2/21/23,1194.25,1194.25,1193.5,1039.25,6,8,9549.75
2/16/23,1041.5,1200,1000,1039.25,52,2008,2100041
2/14/23,1050.25,1050.25,1050,1089.25,5,59,61950.25
2/13/23,1100,1100,1050,1089.25,12,49,52047.25
2/10/23,1100,1100,1100,1089.25,2,6,6600
2/9/23,1050,1050,1050,1089.25,1,1,1050
2/8/23,1100,1100,1100,1089.25,3,21,23100
2/7/23,1050,1100,1050,1089.25,2,23,25100
2/6/23,1080,1080,1080,1089.25,1,6,6480
2/3/23,1100,1100,1050,1089.25,4,12,13100
2/2/23,1148.5,1148.5,1100,1089.25,2,2,2248.5
2/1/23,1148.5,1148.5,1040,1089.25,3,3,3337
1/31/23,1034.5,1034.5,1034.5,1089.25,3,15,15517.5
1/30/23,1149.5,1149.5,1149.5,1089.25,1,1,1149.5
1/26/23,1074.75,1074.75,1074.75,1089.25,1,1,1074.75
1/25/23,1075,1075,1075,1089.25,1,1,1075
1/24/23,1075,1075,1031,1089.25,3,22,23606
1/23/23,1098.75,1098.75,1075,1089.25,2,2,2173.75
1/20/23,1000,1089.75,1000,1089.25,18,228,245862.5
1/18/23,1005,1005,990,1001,11,91,90599.75
1/17/23,1005,1005,1002,1001,3,3,3012
1/13/23,1057.75,1100,1000,1001,11,233,233204.75
1/12/23,1055.5,1055.5,1055.5,1180,1,1,1055.5
1/11/23,900,1100,900,1180,21,75,70100
1/10/23,1182.75,1182.75,1100,1180,10,63,69414.25
1/9/23,1168.5,1182.5,1168.5,1180,5,1934,2282113.5
1/5/23,1181.25,1181.25,1100,1157.75,2,6,7006.25
1/4/23,1169.75,1169.75,1168,1157.75,3,42,49057.75
1/3/23,1174,1174,1155,1157.75,12,186,215493.5
1/2/23,1122,1130,1122,1122.25,4,35,39431
12/30/22,1074,1173,1074,1122.25,13,159,178456.5
12/29/22,1025,1074,1025,1027.5,2,24,25580
12/28/22,1055,1055,1025,1027.5,2,4,4130
12/27/22,1045,1045,1025,1027.5,2,167,171595
12/23/22,1010,1010,1010,1001,2,20,20200
12/22/22,1010,1010,1010,1001,7,70,70700
12/21/22,1010,1010,992,1001,7,82,82751.75
12/20/22,1010,1010,1000,1001,6,71,71030
12/19/22,991.5,1010,991.5,1001,4,19,19023.5
12/16/22,1040,1040,1000,1001,6,25,25402.5
12/15/22,1000,1008,1000,1001,13,125,125090
12/14/22,1000,1000,999.75,1000,4,76,75999.75
12/13/22,1001.5,1050,1000,1000,29,877,877514.75
12/12/22,1050,1050,1000,1017.5,32,246,251802.5
12/9/22,1050,1052,1050,1050,11,147,154362
12/8/22,1050,1050,1050,1050,19,207,217350
12/6/22,1099,1099,1090,1050,2,31,34015
12/5/22,1051.5,1051.5,1050,1050,12,125,131253
12/2/22,1051,1090,1050,1065.75,29,389,410366.25
12/1/22,1053.5,1100,1051.5,1087.75,15,365,397056.5
11/30/22,1050.25,1199.75,1050.25,1099,7,32,34402
11/29/22,1075,1075,1075,1099,1,10,10750
11/28/22,1100,1100,1071,1099,11,65,70460
11/25/22,1100,1100,1075.5,1099,24,903,992419.5
11/24/22,1121,1121,1095,1052.5,3,21,23021
11/22/22,1055.25,1158.75,1055.25,1052.5,2,2,2214
11/21/22,1162,1162,1150,1052.5,2,12,13824
11/18/22,1120,1165,1050,1052.5,22,2188,2303125
11/17/22,1225.25,1225.25,1120,1127.75,22,380,444912.75
11/16/22,1200,1375,1170,1250,13,223,276445.75
11/15/22,1339,1339,1300,1294,3,3,3943.25
11/14/22,1339.5,1339.5,1294,1294,5,107,138509.5
11/10/22,1305,1305,1305,1339.75,1,4,5220
11/9/22,1300,1300,1300,1339.75,4,14,18200
11/3/22,1339,1344.75,1339,1339.75,5,139,186228.5
11/1/22,1364.75,1364.75,1350,1395,5,59,80482.25
10/31/22,1370,1370,1360,1395,5,67,91242
10/28/22,1375,1375,1360,1395,4,4,5465
10/27/22,1375,1375,1375,1395,2,13,17875
10/26/22,1380,1380,1295.5,1395,13,70,93441.75
10/25/22,1315,1326,1315,1395,5,46,60601
10/21/22,1379,1385,1379,1395,4,21,29030
10/20/22,1395,1395,1395,1395,3,817,1139715
10/19/22,1413.75,1413.75,1400,1398.75,2,2,2813.75
10/18/22,1315,1315,1315,1398.75,1,2,2630
10/17/22,1365.5,1400,1365.5,1398.75,8,190,265450.5
10/13/22,1400,1449,1400,1400.5,16,2007,2810861.25
10/12/22,1350,1400,1350,1370,51,1673,2291511.25
10/11/22,1360.5,1369,1350,1535.5,27,91,123898.75
10/7/22,1535.5,1535.5,1435.25,1535.5,4,14,20894.25
10/6/22,1535.5,1538.25,1535.5,1535.5,5,16,24578.5
10/5/22,1646.5,1647,1513,1535.5,19,278,426895.5
10/4/22,1630,1630,1525.5,1624.25,11,131,212890.75
10/3/22,1629,1760,1627.5,1627.75,10,212,345197
9/30/22,1772.5,1772.5,1764,1782.5,4,10,17682.5
9/29/22,1673,1774,1672,1782.5,4,6,10138
9/28/22,1700,1800,1608,1782.5,28,167,294162.25
9/27/22,1605,1730,1600,1700,13,2031,3450272
9/26/22,1619,1749,1619,1671.75,39,1378,2303712
9/23/22,1500,1600,1500,1575.25,33,4263,6563973.5
9/22/22,1399.5,1520,1399.5,1498.5,55,3352,4991962.5
9/21/22,1418,1418,1418,1406,1,1,1418
9/19/22,1406,1413,1406,1406,2,10,14095
9/16/22,1400,1400,1400,1406,1,75,105000
9/15/22,1330,1405.75,1330,1406,3,3,4077.75
9/14/22,1326,1326,1322.5,1406,8,62,82023.25
9/13/22,1361,1361,1361,1406,1,1,1361
9/12/22,1399.5,1430,1351,1406,20,1043,1466582
9/9/22,1320.25,1350,1318,1322.5,15,277,366508.25
9/8/22,1330,1330,1320,1312.75,2,15,19850
9/7/22,1310,1399,1310,1312.75,18,228,299313
9/6/22,1308,1308,1307,1305.25,2,24,31369
9/5/22,1305.75,1305.75,1305,1305.25,9,167,217968.25
9/2/22,1450,1450,1350,1350.5,3,22,29899
9/1/22,1473.75,1473.75,1350,1350.5,17,451,619915.75
8/31/22,1450,1450,1450,1385,2,2,2900
8/30/22,1329,1474,1327,1385,5,19,25418
8/29/22,1300,1500,1300,1385,21,257,354013.5
8/26/22,1320,1489,1300,1426,23,610,844202.25
8/25/22,1404,1489,1310,1488.5,16,67,90741
8/24/22,1402,1402,1401,1488.5,7,78,109345
8/23/22,1310,1530,1301.25,1488.5,38,2402,3563293.25
8/22/22,1399,1399,1250,1291.75,16,218,281584
8/19/22,1249,1500,1249,1375.25,72,3540,4689867
8/18/22,1201,1205.25,1151,1200,21,1806,2167252.75
8/17/22,1125.25,1299,1125.25,1217.25,6,41,48785.75
8/16/22,1121.25,1299.25,1121.25,1217.25,21,2067,2516203.5
8/15/22,1200.75,1339,1160.25,1235.25,74,4344,5402769
8/12/22,1100,1221.5,1100,1100.75,12,56,63651.5
8/10/22,1100,1125,1100,1100.75,4,337,370950
8/9/22,1099.75,1101,1099,1099.75,6,153,168280
8/8/22,980.25,980.25,980,1203.25,8,9,8821.75
8/5/22,1025,1249,1025,1203.25,24,251,302009.25
8/2/22,990,1100,990,1025.75,16,767,786835
8/1/22,999,1099,999,1000,7,23,23503.75
7/29/22,1000,1000,1000,1000,7,371,371000
7/28/22,930,999.75,930,951,14,675,641962
7/27/22,900,930,892,927,17,1003,920306.5
7/27/22,900,930,892,927,17,1003,920306.5
7/26/22,898,898,898,892.5,1,1,898
7/25/22,899,900,812.25,892.5,7,114,101756.25
7/22/22,900,900,900,900,4,13,11700
7/21/22,899,899,899,900,2,5,4495
7/20/22,805.5,900,805.5,900,10,169,151997
7/18/22,886.25,900,886.25,800.5,7,50,44405.25
7/14/22,887,887,801.75,800.5,4,21,16922
7/12/22,886,886,886,800.5,1,1,886
7/11/22,886,886,886,800.5,2,2,1772
7/7/22,890,890,800,800.5,20,156,125044
7/6/22,899,899,899,900,1,1,899
7/5/22,850,850,850,900,3,24,20400
6/29/22,850,850,850,900,1,1,850
6/27/22,900,900,900,900,4,101,90900
6/24/22,850,880,850,812,6,45,38850
6/22/22,826,826,826,812,1,1,826
6/21/22,829,829,829,812,3,3,2487
6/15/22,813,813,812,812,8,200,162410
6/13/22,856,856,850,854.25,12,150,128126
6/10/22,900,900,855,877.5,4,100,87757.5
6/9/22,910,910,910,850,1,4,3640
6/8/22,850,850,850,850,2,116,98600
6/7/22,850,850,850,834.5,3,4,3400
6/2/22,997,997,974,834.5,3,3,2966
6/1/22,850,850,805,834.5,10,306,255330
5/26/22,805.25,805.25,805.25,800.75,5,20,16105
5/23/22,850,850.75,850,800.75,5,50,42536.75
5/19/22,800.5,800.5,800,800.75,6,19,15200.75
5/18/22,899,899,800,800.75,11,224,181188
5/17/22,874,899,849,873.5,10,220,192177.75
5/13/22,849,849,845,847.75,8,501,424949
5/12/22,824.5,874,824.5,850,12,395,335766
5/9/22,776,776,775,775,5,167,129428
5/6/22,799,800,790,786.5,8,38,30337
5/5/22,787.5,800,721,786.5,12,243,191751.75
4/29/22,701,701,700,700,9,342,239414
4/28/22,750,750,700,700,6,797,559276.25
4/27/22,750,900,750,750.5,22,1209,907350.25
4/26/22,750,750,750,998,7,75,56250
4/25/22,801,801,750,998,9,60,47910.5
4/7/22,974.75,974.75,974.75,998,1,1,974.75
4/6/22,972,972,972,998,1,10,9720
4/5/22,974.75,975,973,998,5,13,12667.75
4/4/22,830,830,830,998,1,20,16600
3/30/22,851.75,982.75,851.5,998,7,56,47816.5
3/29/22,851.5,984.75,851.5,998,5,13,12402
3/28/22,850,850,850,998,1,19,16150
3/24/22,817.25,1000,817.25,998,23,572,565458.25
3/23/22,940,940,940,941.25,1,20,18800
3/22/22,816.25,947,816.25,941.25,6,128,120477.5
3/14/22,950,950,806,924.5,11,2702,2515615
3/11/22,920,920,919,920,7,623,573140
3/10/22,875,914.75,875,900,11,2109,1897891
3/8/22,830,830,825,825,6,1220,1006626.25
3/7/22,826,826,825.25,825.75,6,118,97436.25
3/4/22,826,826,825.75,775.25,3,11,9083.5
3/3/22,935,935,935,775.25,2,10,9350
3/2/22,944,944,939,775.25,3,15,14090
2/28/22,884,949,883,775.25,15,62,56497.5
2/25/22,800,875,775,775.25,8,3805,2983477.75
2/24/22,850,850,767.25,850,6,44,34752.75
2/23/22,850,850,850,850,7,136,115600
2/22/22,905,920,850,905,5,26,22717
2/21/22,905,905,905,905,2,10,9050
2/17/22,973.75,973.75,973.75,905,3,3,2921.25
2/15/22,905,905,905,905,1,250,226250
2/14/22,905.25,907,905,914.25,6,18,16295.75
2/11/22,911,996.75,911,914.25,7,257,234931.75
2/10/22,911,911,910,911.5,4,16,14572
2/9/22,912,912,910,911.5,14,148,134911.75
2/8/22,910,990,910,950,4,5,4788
2/7/22,1000,1000,950,950,18,485,460876
2/3/22,964.25,1000.25,950,1007.5,13,61,58741.75
2/2/22,1002.25,1098.75,1000,1007.5,10,86,86982.25
2/1/22,1094,1094,1000.5,1007.5,4,5,5194
1/31/22,1097,1098,1000,1007.5,8,26,26585.25
1/28/22,1053.5,1148.75,1000.25,1007.5,6,35,35650
1/27/22,1003,1098.75,1000,1007.5,62,480,481369.5
1/26/22,1001.5,1233,1001.5,1166,25,184,214285.75
1/25/22,1180,1180,1001,1102.25,9,149,164230
1/24/22,1150,1150,1100,1200,6,16,17900
1/21/22,1200,1200,1199,1200,2,3,3599
1/20/22,1001,1228,1001,1200,2,5,5459
1/19/22,1266,1266,1120.25,1200,14,35,40923
1/18/22,1200,1300,1200,1200,25,1065,1278438
1/13/22,1205,1300,1205,1205,32,1414,1789353
1/12/22,998.5,1205,998.5,1195.75,80,9064,9842445.5
1/11/22,955,1000,909,998.75,35,4346,4338206.5
1/10/22,870,954.75,870,935.25,63,1633,1499675.75
1/7/22,815,891,815,887.5,34,758,671349
1/6/22,798.25,815,798.25,798.5,5,20,16022
1/5/22,760,801,760,798.5,30,6267,5009305.25
1/4/22,745,760,680,747.5,8,31,22037
1/3/22,750,755,750,747.5,7,81,60822.5
12/31/21,726,726,726,747.5,1,1,726
12/30/21,730,750,726,747.5,11,8372,6258856
12/29/21,735,752,735,750,26,10547,7825568
12/28/21,722.75,748,720,729,15,353,257171.5
12/27/21,740,740,720,722.75,2,5,3620
12/24/21,748,748,748,722.75,2,15,11220
12/23/21,720,749.5,701,722.75,12,234,169081
12/22/21,701,701,701,700.5,1,5,3505
12/21/21,700,701,700,700.5,10,298,208791.5
12/20/21,725,725,725,710,2,75,54375
12/17/21,710,710,710,710,4,103,73130
12/16/21,710,710,710,708.25,1,22,15620
12/15/21,700,710,670.25,708.25,9,1119,791972.25
12/14/21,700,700,700,700,5,648,453600
12/13/21,709,709,709,699.75,1,60,42540
12/10/21,719,719,699,699.75,16,1542,1080191.5
12/9/21,699,719.75,699,700,9,933,653143.75
12/8/21,699,700,680.25,683.5,19,722,500042.5
12/7/21,685.25,699,685.25,699,4,102,71283
12/6/21,705,707,682,705.25,12,287,202392
12/3/21,705,705,700,700.25,2,14,9850
12/2/21,700,704.75,677.25,700.25,18,871,602674.5
12/1/21,694.5,694.5,671,671,3,28,19422.5
11/30/21,699.75,699.75,671,671,6,312,209697.75
11/29/21,699.5,699.75,699.5,699,4,41,28682.5
11/26/21,698.75,699,698.75,699,6,175,122318.75
11/25/21,699.75,699.75,662.25,680,2,3,2061.75
11/24/21,680,680,680,680,1,65,44200
